date	stock_symbol	company_name	open_price	high_price	low_price	close_price	volume	sector	market_cap_mil	pe_ratio
2025-01-15	AAPL	Apple Inc.	180.50	185.20	179.80	184.30	25000000	Technology	2800000	28.5
2025-01-15	GOOGL	Alphabet Inc.	145.30	148.90	144.10	147.80	18000000	Technology	1900000	22.1
2025-01-15	MSFT	Microsoft Corp.	420.10	425.60	418.90	424.20	15000000	Technology	3100000	30.2
2025-01-15	TSLA	Tesla Inc.	245.80	251.20	242.50	248.90	35000000	Automotive	800000	65.4
2025-01-15	JPM	JPMorgan Chase	165.40	168.20	164.80	167.50	12000000	Financial	480000	12.3
2025-01-14	AAPL	Apple Inc.	178.90	182.40	177.20	180.50	22000000	Technology	2800000	28.5
2025-01-14	GOOGL	Alphabet Inc.	143.50	146.80	142.90	145.30	16000000	Technology	1900000	22.1
2025-01-14	MSFT	Microsoft Corp.	415.30	421.70	414.50	420.10	13000000	Technology	3100000	30.2
2025-01-14	TSLA	Tesla Inc.	240.20	247.60	238.80	245.80	30000000	Automotive	800000	65.4
2025-01-14	JPM	JPMorgan Chase	162.10	166.90	161.50	165.40	11000000	Financial	480000	12.3
2025-01-13	AAPL	Apple Inc.	175.60	180.20	174.80	178.90	20000000	Technology	2800000	28.5
2025-01-13	GOOGL	Alphabet Inc.	141.20	144.90	140.50	143.50	17000000	Technology	1900000	22.1
2025-01-13	MSFT	Microsoft Corp.	410.80	417.20	409.40	415.30	14000000	Technology	3100000	30.2
2025-01-13	TSLA	Tesla Inc.	235.50	242.10	234.20	240.20	28000000	Automotive	800000	65.4
2025-01-13	JPM	JPMorgan Chase	159.80	163.40	158.90	162.10	10000000	Financial	480000	12.3
2025-01-12	AAPL	Apple Inc.	173.20	177.80	172.60	175.60	18000000	Technology	2800000	28.5
2025-01-12	GOOGL	Alphabet Inc.	139.40	142.60	138.80	141.20	15000000	Technology	1900000	22.1
2025-01-12	MSFT	Microsoft Corp.	405.60	412.30	404.90	410.80	12000000	Technology	3100000	30.2
2025-01-12	TSLA	Tesla Inc.	232.10	237.80	230.90	235.50	26000000	Automotive	800000	65.4
2025-01-12	JPM	JPMorgan Chase	157.30	161.20	156.70	159.80	9500000	Financial	480000	12.3
2025-01-11	AAPL	Apple Inc.	170.80	174.50	169.90	173.20	21000000	Technology	2800000	28.5
2025-01-11	GOOGL	Alphabet Inc.	137.60	140.80	136.90	139.40	19000000	Technology	1900000	22.1
2025-01-11	MSFT	Microsoft Corp.	400.90	407.40	399.60	405.60	16000000	Technology	3100000	30.2
2025-01-11	TSLA	Tesla Inc.	228.40	234.60	227.20	232.10	32000000	Automotive	800000	65.4
2025-01-11	JPM	JPMorgan Chase	154.90	158.80	154.20	157.30	12000000	Financial	480000	12.3
2025-01-10	AAPL	Apple Inc.	168.30	172.10	167.50	170.80	19000000	Technology	2800000	28.5
2025-01-10	GOOGL	Alphabet Inc.	135.80	138.90	135.10	137.60	17000000	Technology	1900000	22.1
2025-01-10	MSFT	Microsoft Corp.	396.20	402.50	395.40	400.90	14000000	Technology	3100000	30.2
2025-01-10	TSLA	Tesla Inc.	225.70	230.80	224.50	228.40	29000000	Automotive	800000	65.4
2025-01-10	JPM	JPMorgan Chase	152.60	156.20	151.90	154.90	11000000	Financial	480000	12.3
2025-01-09	AAPL	Apple Inc.	165.90	169.40	164.80	168.30	23000000	Technology	2800000	28.5
2025-01-09	GOOGL	Alphabet Inc.	133.20	136.50	132.70	135.80	20000000	Technology	1900000	22.1
2025-01-09	MSFT	Microsoft Corp.	391.50	398.10	390.80	396.20	17000000	Technology	3100000	30.2
2025-01-09	TSLA	Tesla Inc.	222.30	227.20	221.10	225.70	34000000	Automotive	800000	65.4
2025-01-09	JPM	JPMorgan Chase	150.20	154.10	149.50	152.60	13000000	Financial	480000	12.3
2025-01-08	AAPL	Apple Inc.	163.40	167.20	162.60	165.90	24000000	Technology	2800000	28.5
2025-01-08	GOOGL	Alphabet Inc.	131.50	134.40	130.90	133.20	18000000	Technology	1900000	22.1
2025-01-08	MSFT	Microsoft Corp.	387.80	393.70	386.90	391.50	15000000	Technology	3100000	30.2
2025-01-08	TSLA	Tesla Inc.	219.60	224.10	218.40	222.30	31000000	Automotive	800000	65.4
2025-01-08	JPM	JPMorgan Chase	147.80	151.50	147.10	150.20	10500000	Financial	480000	12.3