date	daily_revenue	new_customers	churn_rate	cac_cost_per_customer	ltv_customer	gross_margin_pct	support_tickets	server_costs	marketing_spend	forecast_revenue	forecast_accuracy	alert_threshold_revenue	alert_threshold_churn	roi_marketing	inventory_turnover	cash_flow_impact	reorder_trigger	seasonal_multiplier
2024-01-01	125000	45	0.02	89	1250	0.68	23	8500	12000	120000	0.96	100000	0.05	2.1	4.2	15000	0	1.1
2024-01-02	118000	38	0.018	92	1280	0.69	19	8200	9500	115000	0.97	100000	0.05	2.4	4.1	12000	0	1.05
2024-01-03	132000	52	0.022	85	1320	0.71	27	8800	14000	128000	0.97	100000	0.05	2.0	4.3	18000	0	1.15
2024-01-04	145000	61	0.019	88	1340	0.72	31	9200	16500	140000	0.97	100000	0.05	1.9	4.5	25000	0	1.2
2024-01-05	158000	68	0.021	91	1360	0.70	35	9600	18000	152000	0.96	100000	0.05	1.8	4.7	32000	0	1.25
2024-01-06	172000	75	0.024	87	1380	0.73	42	10200	21000	165000	0.96	100000	0.05	1.7	4.9	40000	0	1.3
2024-01-07	165000	71	0.023	89	1370	0.72	38	9800	19500	160000	0.97	100000	0.05	1.8	4.8	35000	0	1.28
2024-01-08	128000	46	0.025	93	1240	0.67	24	8600	13000	125000	0.98	100000	0.05	2.2	4.0	16000	0	1.08
2024-01-09	122000	41	0.027	95	1220	0.66	21	8300	11500	118000	0.97	100000	0.05	2.3	3.9	14000	0	1.02
2024-01-10	136000	55	0.020	86	1350	0.71	29	8900	15500	132000	0.97	100000	0.05	1.9	4.4	22000	0	1.18
2024-01-11	149000	64	0.018	90	1390	0.74	33	9300	17500	145000	0.97	100000	0.05	1.8	4.6	28000	0	1.22
2024-01-12	163000	72	0.022	88	1410	0.73	39	9800	20000	158000	0.97	100000	0.05	1.7	4.8	36000	0	1.27
2024-01-13	178000	79	0.025	85	1430	0.75	45	10500	22500	170000	0.95	100000	0.05	1.6	5.1	45000	0	1.32
2024-01-14	171000	76	0.024	87	1420	0.74	41	10100	21000	165000	0.96	100000	0.05	1.7	5.0	38000	0	1.30
2024-01-15	132000	48	0.028	94	1260	0.68	25	8700	14000	128000	0.97	100000	0.05	2.1	4.1	18000	1	1.12
2024-01-16	126000	43	0.030	96	1240	0.67	22	8400	12500	122000	0.97	100000	0.05	2.2	3.8	15000	0	1.06
2024-01-17	140000	58	0.019	87	1380	0.72	31	9000	16000	136000	0.97	100000	0.05	1.9	4.5	25000	0	1.20
2024-01-18	154000	67	0.017	89	1420	0.75	36	9500	18500	150000	0.97	100000	0.05	1.8	4.7	32000	0	1.25
2024-01-19	168000	74	0.021	86	1450	0.76	42	10000	21000	162000	0.96	100000	0.05	1.7	4.9	40000	0	1.29
2024-01-20	183000	82	0.024	84	1470	0.77	48	10800	24000	175000	0.95	100000	0.05	1.6	5.2	48000	0	1.34
2024-01-21	176000	78	0.023	86	1460	0.76	44	10400	22500	170000	0.96	100000	0.05	1.7	5.1	42000	0	1.32
2024-01-22	135000	50	0.029	95	1280	0.69	26	8800	14500	131000	0.97	100000	0.05	2.0	4.2	20000	0	1.15
2024-01-23	129000	45	0.031	97	1250	0.68	23	8500	13000	125000	0.97	100000	0.05	2.1	4.0	17000	0	1.09
2024-01-24	143000	60	0.018	88	1400	0.73	33	9100	17000	139000	0.97	100000	0.05	1.9	4.6	27000	0	1.22
2024-01-25	158000	69	0.016	90	1440	0.75	38	9600	19500	154000	0.97	100000	0.05	1.8	4.8	35000	0	1.27
2024-01-26	173000	76	0.020	87	1480	0.77	44	10200	22000	167000	0.96	100000	0.05	1.7	5.0	43000	0	1.31
2024-01-27	189000	85	0.023	85	1500	0.78	51	11000	25500	182000	0.96	100000	0.05	1.6	5.3	52000	0	1.36
2024-01-28	182000	81	0.022	87	1490	0.77	47	10600	24000	175000	0.96	100000	0.05	1.7	5.2	46000	0	1.34
2024-01-29	138000	52	0.030	96	1300	0.70	28	8900	15000	134000	0.97	100000	0.05	2.0	4.3	22000	0	1.18
2024-01-30	132000	47	0.032	98	1270	0.69	25	8600	13500	128000	0.97	100000	0.05	2.1	4.1	19000	1	1.12
2024-01-31	146000	62	0.017	89	1420	0.74	35	9200	18000	142000	0.97	100000	0.05	1.9	4.7	30000	0	1.24
2024-02-01	160000	71	0.015	91	1460	0.76	40	9700	20500	156000	0.98	105000	0.05	1.8	4.9	38000	0	1.28
2024-02-02	175000	78	0.019	88	1500	0.78	46	10300	23000	170000	0.97	105000	0.05	1.7	5.1	45000	0	1.33
2024-02-03	192000	87	0.022	86	1520	0.79	53	11200	26500	185000	0.96	105000	0.05	1.6	5.4	55000	0	1.38
2024-02-04	185000	83	0.021	88	1510	0.78	49	10800	25000	178000	0.96	105000	0.05	1.7	5.3	49000	0	1.36
2024-02-05	142000	54	0.031	97	1320	0.71	30	9000	16000	138000	0.97	105000	0.05	2.0	4.4	25000	0	1.20
2024-02-06	136000	49	0.033	99	1290	0.70	27	8700	14500	132000	0.97	105000	0.05	2.1	4.2	21000	0	1.15
2024-02-07	150000	64	0.016	90	1440	0.75	37	9300	19000	146000	0.97	105000	0.05	1.9	4.8	33000	0	1.26
2024-02-08	165000	73	0.014	92	1480	0.77	42	9900	21500	161000	0.98	105000	0.05	1.8	5.0	41000	0	1.30
2024-02-09	180000	80	0.018	89	1520	0.79	48	10500	24500	175000	0.97	105000	0.05	1.7	5.2	48000	0	1.35
2024-02-10	198000	90	0.021	87	1540	0.80	55	11500	27500	190000	0.96	105000	0.05	1.6	5.5	58000	0	1.40
2024-02-11	191000	86	0.020	89	1530	0.79	51	11100	26000	183000	0.96	105000	0.05	1.7	5.4	52000	0	1.38
2024-02-12	146000	56	0.032	98	1340	0.72	32	9100	17000	142000	0.97	105000	0.05	2.0	4.5	28000	0	1.22
2024-02-13	140000	51	0.034	100	1310	0.71	29	8800	15500	136000	0.97	105000	0.05	2.1	4.3	23000	0	1.17
2024-02-14	168000	76	0.012	88	1520	0.78	45	10000	22000	163000	0.97	105000	0.05	1.8	5.1	43000	0	1.32
2024-02-15	174000	79	0.013	90	1540	0.79	47	10200	23000	169000	0.97	105000	0.05	1.7	5.2	46000	1	1.34